Day ,Date,STUDY AM,Masters Study,Covered section,Study PM,Udemy %,Udemy Section,Typing,Spanish,CHECK GIT,100 Days
Friday,1/1/2121,.,.,.,30,.,.,38 WPM 5M TEST,Y,.,.
Saturday,1/2/2121,.,.,.,30,.,.,10,1,.,.
Sunday,1/3/2121,.,.,.,50,.,.,10,2,.,.
Monday,1/4/2121,.,.,.,30,.,.,10,3,.,.
Tuesday,1/5/2121,.,.,.,30,.,.,10,4,.,.
Wednesday,1/6/2121,.,.,.,40,.,.,10,5,.,.
Thursday,1/7/2121,.,.,.,40,.,.,10,6,.,.
Friday,1/8/2121,.,.,.,40,.,.,10,7,.,.
Saturday,1/9/2121,.,.,.,300,.,.,10,8,.,.
Sunday,1/10/2121,.,.,.,180,.,.,10,9,.,.
Monday,1/11/2121,120,.,.,20,.,.,10,10,.,1
Tuesday,1/12/2121,.,.,.,65,.,.,10,11,.,2
Wednesday,1/13/2121,90,.,.,60,.,.,.,12,.,1
Thursday,1/14/2121,90,.,.,75,.,52,10,13,Y,2
Friday,1/15/2121,90,.,.,60,.,62,10,14,Y,3
Saturday,1/16/2121,180,.,.,280,.,80,10,15,Y,4
Sunday,1/17/2121,.,.,.,60,.,91,10,16,Y,5
Monday,1/18/2121,30,.,.,,.,.,10,17,Y,6
Tuesday,1/19/2121,30,.,.,40,.,.,10,18,Y,7
Wednesday,1/20/2121,30,.,.,20,.,.,10,19,Y,8
Thursday,1/21/2121,60,.,.,50,.,.,10,20,Y,9
Friday,1/22/2121,40,.,.,20,.,.,10,21,Y,10
Saturday,1/23/2121,.,.,.,120,.,.,10,22,Y,11
Sunday,1/24/2121,.,.,.,60,.,.,.,23,Y,12
Monday,1/25/2121,.,.,.,30,.,.,.,24,Y,13
Tuesday,1/26/2121,.,.,.,30,.,.,5,25,Y,14
Wednesday,1/27/2121,.,.,.,30,.,.,5,26,Y,15
Thursday,1/28/2121,20,.,.,30,.,.,10,27,Y,16
Friday,1/29/2121,15,.,.,60,.,.,10,28,Y,17
Saturday,1/30/2121,300,.,.,180,40,123,10,29,Y,18
Sunday,1/31/2121,200,.,.,300,45,134,.,30,Y,19
Monday,2/1/2121,15,.,.,120,.,.,10,31,Y,20
Tuesday,2/2/2121,.,.,.,120,.,.,5,32,Y,21
Wednesday,2/3/2121,60,.,.,30,.,.,10,33,Y,22
Thursday,2/4/2121,.,.,.,60,45,148,10,34,Y,23
Friday,2/5/2121,.,.,.,30,.,149,.,35,Y,24
Saturday,2/6/2121,.,.,.,.,.,.,.,1,Y,25
Sunday,2/7/2121,.,.,.,40,.,.,5,2,Y,26
Monday,2/8/2121,30,.,.,40,.,.,10,3,Y,27
Tuesday,2/9/2121,.,.,.,30,.,.,10,4,Y,28
Wednesday,2/10/2121,.,.,.,70,55,164,5,5,Y,29
Thursday,2/11/2121,90,.,.,.,.,.,10,6,Y,30
Friday,2/12/2121,.,.,.,30,.,.,10,7,Y,31
Saturday,2/13/2121,.,.,.,130,.,.,10,8,Y,32
Sunday,2/14/2121,.,.,.,90,.,164,10,9,Y,33
Monday,2/15/2121,.,.,.,60,.,.,5,10,Y,34
Tuesday,2/16/2121,.,.,.,60,.,.,11,11,Y,35
Wednesday,2/17/2121,60,.,.,30,.,.,11,12,Y,36
Thursday,2/18/2121,.,.,.,60,.,.,10,13,Y,37
Friday,2/19/2121,120,.,.,40,.,.,10,14,Y,38
Saturday,2/20/2121,.,.,.,130,.,.,10,15,Y,39
Sunday,2/21/2121,.,.,.,90,.,.,10,16,Y,40
Monday,2/22/2121,.,.,.,30,.,.,.,17,Y,41
Tuesday,2/23/2121,.,.,.,30,.,.,10,18,Y,42
Wednesday,2/24/2121,.,.,.,30,.,.,10,19,Y,43
Thursday,2/25/2121,.,.,.,60,.,174,10,20,Y,44
Friday,2/26/2121,.,.,.,60,60,179,8,21,Y,45
Saturday,2/27/2121,.,.,.,120,.,182,10,22,Y,46
Sunday,2/28/2121,,47,,,.,,10,23,Y,47
Monday,3/1/2121,30,.,187,,.,.,10,24,Y,48
Tuesday,3/2/2121,60,.,190,60,.,190,10,25,Y,49
Wednesday,3/3/2121,,.,,60,.,198,.,26,Y,50
Thursday,3/4/2121,15,.,.,.,.,.,.,27,Y,51
Friday,3/5/2121,.,.,.,.,.,.,.,28,Y,52
Saturday,3/6/2121,.,.,.,.,.,.,.,29,Y,53
Sunday,3/7/2121,.,.,.,.,.,.,.,30,.,54
Monday,3/8/2121,60,.,starting python,50,.,207,10,31,Y,55
Tuesday,3/9/2121,30,.,.,60,.,212,10,32,Y,56
Wednesday,3/10/2121,.,.,.,20,.,.,10,.,.,57
,,,,,,,,,,,
